date,country,city,lat,long
13/07/2017,Australia,Sydney,-33.8688,151.2093
14/07/2017,United Arab Emirates,Abu Dhabi,24.4539,54.3773
15/07/2017,Serbia,Nis,43.3209,21.8958
16/07/2017,Serbia,Nis,43.3209,21.8958
17/07/2017,Serbia,Nis,43.3209,21.8958
18/07/2017,Serbia,Nis,43.3209,21.8958
19/07/2017,Serbia,Nis,43.3209,21.8958
20/07/2017,Serbia,Nis,43.3209,21.8958
21/07/2017,Serbia,Nis,43.3209,21.8958
22/07/2017,Serbia,Nis,43.3209,21.8958
23/07/2017,Serbia,Nis,43.3209,21.8958
24/07/2017,Serbia,Nis,43.3209,21.8958
25/07/2017,Serbia,Nis,43.3209,21.8958
26/07/2017,Serbia,Nis,43.3209,21.8958
27/07/2017,Serbia,Nis,43.3209,21.8958
28/07/2017,Serbia,Nis,43.3209,21.8958
29/07/2017,Serbia,Belgrade,44.7866,20.4489
30/07/2017,Serbia,Belgrade,44.7866,20.4489
31/07/2017,Serbia,Nis,43.3209,21.8958
01/08/2017,Serbia,Nis,43.3209,21.8958
02/08/2017,Serbia,Nis,43.3209,21.8958
03/08/2017,Serbia,Nis,43.3209,21.8958
04/08/2017,Serbia,Nis,43.3209,21.8958
05/08/2017,Montenegro,Kotor,42.4247,18.7712
06/08/2017,Montenegro,Budva,42.2911,18.8403
07/08/2017,Serbia,Nis,43.3209,21.8958
08/08/2017,Serbia,Nis,43.3209,21.8958
09/08/2017,Serbia,Nis,43.3209,21.8958
10/08/2017,Serbia,Nis,43.3209,21.8958
11/08/2017,Serbia,Nis,43.3209,21.8958
12/08/2017,Serbia,Nis,43.3209,21.8958
13/08/2017,Serbia,Nis,43.3209,21.8958
14/08/2017,Serbia,Nis,43.3209,21.8958
15/08/2017,Serbia,Nis,43.3209,21.8958
16/08/2017,Serbia,Nis,43.3209,21.8958
17/08/2017,Serbia,Nis,43.3209,21.8958
18/08/2017,Serbia,Nis,43.3209,21.8958
19/08/2017,Serbia,Nis,43.3209,21.8958
